sample_id,label,label_name
0,0,normal
1,0,normal
2,2,parallel_arc
3,1,series_arc
4,1,series_arc
5,0,normal
6,0,normal
7,0,normal
8,0,normal
9,1,series_arc
10,0,normal
11,1,series_arc
12,1,series_arc
13,0,normal
14,0,normal
15,1,series_arc
16,0,normal
17,0,normal
18,0,normal
19,0,normal
20,0,normal
21,0,normal
22,0,normal
23,0,normal
24,2,parallel_arc
25,0,normal
26,1,series_arc
27,0,normal
28,0,normal
29,0,normal
30,0,normal
31,2,parallel_arc
32,0,normal
33,0,normal
34,1,series_arc
35,1,series_arc
36,0,normal
37,1,series_arc
38,1,series_arc
39,2,parallel_arc
40,2,parallel_arc
41,0,normal
42,0,normal
43,0,normal
44,0,normal
45,0,normal
46,0,normal
47,0,normal
48,0,normal
49,0,normal
50,1,series_arc
51,1,series_arc
52,0,normal
53,0,normal
54,0,normal
55,1,series_arc
56,0,normal
57,0,normal
58,1,series_arc
59,0,normal
60,2,parallel_arc
61,0,normal
62,1,series_arc
63,0,normal
64,2,parallel_arc
65,0,normal
66,1,series_arc
67,1,series_arc
68,0,normal
69,0,normal
70,1,series_arc
71,0,normal
72,0,normal
73,1,series_arc
74,0,normal
75,0,normal
76,0,normal
77,0,normal
78,0,normal
79,0,normal
80,0,normal
81,0,normal
82,1,series_arc
83,1,series_arc
84,2,parallel_arc
85,0,normal
86,2,parallel_arc
87,1,series_arc
88,1,series_arc
89,0,normal
90,1,series_arc
91,0,normal
92,1,series_arc
93,0,normal
94,0,normal
95,0,normal
96,1,series_arc
97,2,parallel_arc
98,0,normal
99,1,series_arc
100,0,normal
101,1,series_arc
102,1,series_arc
103,0,normal
104,0,normal
105,0,normal
106,1,series_arc
107,1,series_arc
108,2,parallel_arc
109,0,normal
110,0,normal
111,0,normal
112,1,series_arc
113,0,normal
114,0,normal
115,1,series_arc
116,1,series_arc
117,0,normal
118,1,series_arc
119,1,series_arc
120,1,series_arc
121,0,normal
122,0,normal
123,0,normal
124,0,normal
125,0,normal
126,0,normal
127,0,normal
128,1,series_arc
129,1,series_arc
130,0,normal
131,0,normal
132,1,series_arc
133,0,normal
134,0,normal
135,0,normal
136,0,normal
137,0,normal
138,1,series_arc
139,0,normal
140,0,normal
141,2,parallel_arc
142,0,normal
143,1,series_arc
144,0,normal
145,0,normal
146,1,series_arc
147,1,series_arc
148,2,parallel_arc
149,0,normal
150,2,parallel_arc
151,2,parallel_arc
152,0,normal
153,0,normal
154,0,normal
155,0,normal
156,0,normal
157,0,normal
158,0,normal
159,0,normal
160,0,normal
161,2,parallel_arc
162,0,normal
163,1,series_arc
164,0,normal
165,1,series_arc
166,1,series_arc
167,0,normal
168,1,series_arc
169,0,normal
170,1,series_arc
171,0,normal
172,1,series_arc
173,0,normal
174,0,normal
175,0,normal
176,1,series_arc
177,1,series_arc
178,2,parallel_arc
179,0,normal
180,0,normal
181,2,parallel_arc
182,2,parallel_arc
183,1,series_arc
184,0,normal
185,1,series_arc
186,0,normal
187,0,normal
188,0,normal
189,0,normal
190,0,normal
191,1,series_arc
192,1,series_arc
193,0,normal
194,1,series_arc
195,0,normal
196,0,normal
197,1,series_arc
198,0,normal
199,1,series_arc
200,0,normal
201,1,series_arc
202,0,normal
203,1,series_arc
204,1,series_arc
205,0,normal
206,0,normal
207,1,series_arc
208,1,series_arc
209,1,series_arc
210,0,normal
211,2,parallel_arc
212,1,series_arc
213,0,normal
214,0,normal
215,0,normal
216,1,series_arc
217,1,series_arc
218,2,parallel_arc
219,1,series_arc
220,1,series_arc
221,0,normal
222,1,series_arc
223,0,normal
224,1,series_arc
225,1,series_arc
226,0,normal
227,1,series_arc
228,0,normal
229,1,series_arc
230,0,normal
231,0,normal
232,0,normal
233,0,normal
234,1,series_arc
235,0,normal
236,1,series_arc
237,0,normal
238,2,parallel_arc
239,2,parallel_arc
240,0,normal
241,0,normal
242,2,parallel_arc
243,0,normal
244,0,normal
245,1,series_arc
246,0,normal
247,0,normal
248,1,series_arc
249,2,parallel_arc
250,0,normal
251,0,normal
252,0,normal
253,0,normal
254,2,parallel_arc
255,0,normal
256,2,parallel_arc
257,1,series_arc
258,0,normal
259,1,series_arc
260,1,series_arc
261,0,normal
262,0,normal
263,1,series_arc
264,1,series_arc
265,0,normal
266,0,normal
267,0,normal
268,0,normal
269,0,normal
270,1,series_arc
271,0,normal
272,0,normal
273,0,normal
274,0,normal
275,0,normal
276,0,normal
277,0,normal
278,1,series_arc
279,2,parallel_arc
280,0,normal
281,0,normal
282,0,normal
283,1,series_arc
284,0,normal
285,2,parallel_arc
286,2,parallel_arc
287,1,series_arc
288,0,normal
289,0,normal
290,1,series_arc
291,0,normal
292,0,normal
293,1,series_arc
294,0,normal
295,1,series_arc
296,1,series_arc
297,0,normal
298,0,normal
299,0,normal
300,0,normal
301,1,series_arc
302,0,normal
303,0,normal
304,0,normal
305,1,series_arc
306,1,series_arc
307,0,normal
308,0,normal
309,1,series_arc
310,0,normal
311,1,series_arc
312,2,parallel_arc
313,0,normal
314,1,series_arc
315,0,normal
316,0,normal
317,0,normal
318,0,normal
319,0,normal
320,1,series_arc
321,0,normal
322,1,series_arc
323,1,series_arc
324,0,normal
325,0,normal
326,0,normal
327,0,normal
328,0,normal
329,0,normal
330,1,series_arc
331,0,normal
332,1,series_arc
333,0,normal
334,0,normal
335,1,series_arc
336,0,normal
